Prediction,Category,Category Name,Sensitivity,Specificity,Categorical agreement,ME,VME,N,Resistant
R,ST,ST1466-1LV,-,100,100,0,-,1,0
R,ST,ST1469,-,100,100,0,-,2,0
R,ST,ST147,100,33.33333333333333,98.9041095890411,66.66666666666666,0,365,98.35616438356163
R,ST,ST147-1LV,100,0,100,100,0,1,100
R,ST,ST1472,-,100,100,0,-,3,0
R,ST,ST1472-1LV,-,100,100,0,-,1,0
R,ST,ST1478,-,100,100,0,-,5,0
R,ST,ST148,-,100,100,0,-,1,0
R,ST,ST1480,-,100,100,0,-,1,0
R,ST,ST1484,-,100,100,0,-,1,0
R,ST,ST1485,-,100,100,0,-,6,0
R,ST,ST1486,-,100,100,0,-,4,0
R,ST,ST1493,100,0,100,100,0,1,100
R,ST,ST1496,-,100,100,0,-,7,0
R,ST,ST15,99.86979166666666,68.75,99.23469387755102,31.25,0.13020833333333331,784,97.95918367346938
R,ST,ST15-1LV,100,100,100,0,0,13,92.3076923076923
R,ST,ST150,-,100,100,0,-,3,0
R,ST,ST1500,-,100,100,0,-,2,0
R,ST,ST1505,-,100,100,0,-,1,0
R,ST,ST1507,-,100,100,0,-,1,0
R,ST,ST151,-,100,100,0,-,10,0
R,ST,ST1511,-,100,100,0,-,1,0
R,ST,ST1516,-,100,100,0,-,1,0
R,ST,ST1517,-,100,100,0,-,1,0
R,ST,ST1519,100,0,100,100,0,3,100
R,ST,ST152,96.42857142857143,100,97.2972972972973,0,3.571428571428571,37,75.67567567567568
R,ST,ST1524,-,100,100,0,-,1,0
R,ST,ST1526,-,100,100,0,-,1,0
R,ST,ST1527,-,100,100,0,-,4,0
R,ST,ST1530,-,100,100,0,-,1,0
R,ST,ST1531,-,100,100,0,-,1,0
R,ST,ST1533-1LV,-,100,100,0,-,1,0
R,ST,ST1534,-,100,100,0,-,1,0
R,ST,ST1535,-,100,100,0,-,2,0
R,ST,ST1536,-,100,100,0,-,1,0
R,ST,ST1537,100,100,100,0,0,17,29.411764705882355
R,ST,ST1540,-,100,100,0,-,3,0
R,ST,ST1542,-,100,100,0,-,1,0
R,ST,ST1545,-,100,100,0,-,3,0
R,ST,ST1547,-,100,100,0,-,1,0
R,ST,ST1548,100,100,100,0,0,5,20
R,ST,ST1550-2LV,-,100,100,0,-,1,0
R,ST,ST1556-2LV,-,100,100,0,-,1,0
R,ST,ST156,-,100,100,0,-,1,0
R,ST,ST1562,100,100,100,0,0,26,7.6923076923076925
R,ST,ST1562-1LV,-,100,100,0,-,1,0
R,ST,ST1563,-,100,100,0,-,10,0
R,ST,ST1564,-,50,50,50,-,2,0
R,ST,ST1569,100,100,100,0,0,4,25
R,ST,ST157,-,100,100,0,-,1,0
R,ST,ST1570-1LV,-,100,100,0,-,1,0
R,ST,ST1570-2LV,-,100,100,0,-,1,0
R,ST,ST1574,-,100,100,0,-,3,0
R,ST,ST158,100,100,100,0,0,2,50
R,ST,ST1582,100,50,66.66666666666666,50,0,3,33.33333333333333
R,ST,ST1583,-,66.66666666666666,66.66666666666666,33.33333333333333,-,3,0
R,ST,ST1584,-,100,100,0,-,2,0
R,ST,ST159,-,100,100,0,-,1,0
R,ST,ST1593,100,0,100,100,0,1,100
R,ST,ST1597-1LV,-,100,100,0,-,1,0
R,ST,ST1599,-,100,100,0,-,3,0
R,ST,ST16,100,50,99.74937343358395,50,0,399,99.49874686716792
R,ST,ST16-1LV,100,0,100,100,0,5,100
R,ST,ST160,-,100,100,0,-,3,0
R,ST,ST1602,-,100,100,0,-,1,0
R,ST,ST1606,-,100,100,0,-,1,0
R,ST,ST1609,-,100,100,0,-,2,0
R,ST,ST1609-1LV,-,100,100,0,-,1,0
R,ST,ST161,-,100,100,0,-,2,0
R,ST,ST161-3LV,-,100,100,0,-,2,0
R,ST,ST1613,-,100,100,0,-,1,0
R,ST,ST1615,-,100,100,0,-,1,0
R,ST,ST162,-,100,100,0,-,1,0
R,ST,ST1621,-,100,100,0,-,4,0
R,ST,ST1623,-,100,100,0,-,1,0
R,ST,ST1629,-,100,100,0,-,2,0
R,ST,ST163,-,90.9090909090909,90.9090909090909,9.090909090909092,-,11,0
R,ST,ST1630,-,100,100,0,-,5,0
R,ST,ST1631,-,100,100,0,-,3,0
R,ST,ST1634,-,100,100,0,-,1,0
R,ST,ST1642,-,100,100,0,-,1,0
R,ST,ST1644,-,100,100,0,-,2,0
R,ST,ST1646,-,100,100,0,-,1,0
R,ST,ST1647,-,100,100,0,-,1,0
R,ST,ST1647-2LV,100,0,100,100,0,1,100
R,ST,ST1653,100,100,100,0,0,2,50
R,ST,ST1658,-,100,100,0,-,2,0
R,ST,ST1661,-,100,100,0,-,3,0
R,ST,ST1662,-,100,100,0,-,2,0
R,ST,ST1662-1LV,100,0,100,100,0,7,100
R,ST,ST1664,-,100,100,0,-,1,0
R,ST,ST1665,-,100,100,0,-,1,0
R,ST,ST1676,-,100,100,0,-,1,0
R,ST,ST1679,-,100,100,0,-,2,0
R,ST,ST168,0,100,75,0,100,4,25
R,ST,ST1681,-,100,100,0,-,1,0
R,ST,ST1681-1LV,-,100,100,0,-,1,0
R,ST,ST1683,100,100,100,0,0,2,50
R,ST,ST1686,0,100,66.66666666666666,0,100,3,33.33333333333333
R,ST,ST1688,-,100,100,0,-,5,0
R,ST,ST1688-1LV,-,100,100,0,-,1,0
R,ST,ST1689,-,100,100,0,-,2,0
R,ST,ST1694,100,100,100,0,0,4,25
R,ST,ST17,91.66666666666666,91.11111111111111,91.28205128205128,8.88888888888889,8.333333333333332,195,30.76923076923077
R,ST,ST17-1LV,100,0,50,100,0,2,50
R,ST,ST1709,-,100,100,0,-,1,0
R,ST,ST1718,-,100,100,0,-,1,0
R,ST,ST1726,100,50,66.66666666666666,50,0,3,33.33333333333333
R,ST,ST1727,-,100,100,0,-,1,0
R,ST,ST1728,100,100,100,0,0,5,20
R,ST,ST1731,-,100,100,0,-,2,0
R,ST,ST1737,-,100,100,0,-,1,0
R,ST,ST1737-1LV,-,100,100,0,-,2,0
R,ST,ST1741,-,0,0,100,-,2,0
R,ST,ST1746,-,100,100,0,-,1,0
R,ST,ST1750,-,100,100,0,-,2,0
R,ST,ST1754,100,100,100,0,0,10,90
R,ST,ST1758,100,100,100,0,0,2,50
R,ST,ST176,-,66.66666666666666,66.66666666666666,33.33333333333333,-,3,0
R,ST,ST1770,100,0,100,100,0,1,100
R,ST,ST1774,100,0,50,100,0,4,50
R,ST,ST1775,-,100,100,0,-,1,0
R,ST,ST1777,100,0,100,100,0,1,100
R,ST,ST1777-1LV,100,0,100,100,0,1,100
R,ST,ST1778,-,100,100,0,-,1,0
R,ST,ST1779,-,100,100,0,-,7,0
R,ST,ST1783-1LV,-,100,100,0,-,1,0
R,ST,ST1787,100,0,50,100,0,6,50
R,ST,ST1788,-,100,100,0,-,1,0
R,ST,ST1790,-,100,100,0,-,1,0
R,ST,ST1791,-,100,100,0,-,2,0
R,ST,ST1798,100,100,100,0,0,2,50
R,ST,ST1799,-,100,100,0,-,4,0
R,ST,ST18,100,100,100,0,0,2,50
R,ST,ST180,-,100,100,0,-,2,0
R,ST,ST1800,-,100,100,0,-,1,0
R,ST,ST1801,75,0,50,100,25,6,66.66666666666666
R,ST,ST1805,-,100,100,0,-,1,0
R,ST,ST1808,100,0,100,100,0,1,100
R,ST,ST1813,-,100,100,0,-,1,0
R,ST,ST1818,-,100,100,0,-,1,0
R,ST,ST1819,-,100,100,0,-,3,0
R,ST,ST182,-,100,100,0,-,3,0
R,ST,ST1822,-,100,100,0,-,5,0
R,ST,ST1823,0,100,50,0,100,2,50
R,ST,ST1824,100,100,100,0,0,2,50
R,ST,ST1825,-,100,100,0,-,1,0
R,ST,ST1832,-,100,100,0,-,9,0
R,ST,ST1836,-,100,100,0,-,3,0
R,ST,ST1838,50,50,50,50,50,2,100
R,ST,ST1843,-,100,100,0,-,2,0
R,ST,ST1845,-,100,100,0,-,3,0
R,ST,ST1848,-,100,100,0,-,1,0
R,ST,ST185,-,100,100,0,-,2,0
R,ST,ST1855,100,100,100,0,0,2,50
R,ST,ST1859,100,0,100,100,0,1,100
R,ST,ST186,-,100,100,0,-,2,0
R,ST,ST1862,-,100,100,0,-,1,0
R,ST,ST1863-2LV,-,100,100,0,-,1,0
R,ST,ST1867,-,100,100,0,-,2,0
R,ST,ST187,60,100,89.47368421052632,0,40,19,26.31578947368421
R,ST,ST1873,-,100,100,0,-,1,0
R,ST,ST1875,-,100,100,0,-,4,0
R,ST,ST1876,100,100,100,0,0,12,41.66666666666667
R,ST,ST1877,-,100,100,0,-,11,0
R,ST,ST188,-,100,100,0,-,6,0
R,ST,ST188-1LV,0,100,0,0,100,1,100
R,ST,ST1880,100,0,100,100,0,2,100
R,ST,ST1881-3LV,-,100,100,0,-,1,0
R,ST,ST1887,100,100,100,0,0,2,50
R,ST,ST189,-,100,100,0,-,1,0
R,ST,ST1891,100,0,100,100,0,1,100
R,ST,ST1897,-,100,100,0,-,3,0
R,ST,ST1899,-,100,100,0,-,3,0
R,ST,ST1905,0,100,0,0,100,1,100
R,ST,ST191,-,100,100,0,-,1,0
R,ST,ST1915,-,100,100,0,-,5,0
R,ST,ST1916,100,0,100,100,0,3,100
R,ST,ST192,0,100,66.66666666666666,0,100,3,33.33333333333333
R,ST,ST192-2LV,-,100,100,0,-,1,0
R,ST,ST1920,-,100,100,0,-,1,0
R,ST,ST1922,100,0,100,100,0,7,100
R,ST,ST1927,-,100,100,0,-,1,0
R,ST,ST1928,-,100,100,0,-,3,0
R,ST,ST1928-1LV,-,100,100,0,-,1,0
R,ST,ST193,100,100,100,0,0,4,25
R,ST,ST193-1LV,-,100,100,0,-,1,0
R,ST,ST1933,-,100,100,0,-,1,0
R,ST,ST194,-,100,100,0,-,3,0
R,ST,ST1948,-,100,100,0,-,3,0
R,ST,ST1957,-,100,100,0,-,2,0
R,ST,ST1958,100,66.66666666666666,80,33.33333333333333,0,5,40
R,ST,ST196,100,0,100,100,0,7,100
R,ST,ST1962,100,100,100,0,0,4,25
R,ST,ST1966,-,100,100,0,-,12,0
R,ST,ST1967,-,100,100,0,-,3,0
R,ST,ST1967-1LV,-,100,100,0,-,1,0
R,ST,ST197,-,100,100,0,-,9,0
R,ST,ST1978,-,100,100,0,-,1,0
R,ST,ST198,100,100,100,0,0,6,16.666666666666664
R,ST,ST198-1LV,100,0,100,100,0,1,100
R,ST,ST1980,-,100,100,0,-,3,0
R,ST,ST1984,-,100,100,0,-,1,0
R,ST,ST1985,-,100,100,0,-,1,0
R,ST,ST1986,-,100,100,0,-,2,0
R,ST,ST199,100,100,100,0,0,7,85.71428571428571
R,ST,ST1994,-,100,100,0,-,1,0
R,ST,ST1994-1LV,-,100,100,0,-,2,0
R,ST,ST1996,-,100,100,0,-,1,0
R,ST,ST1997,-,100,100,0,-,1,0
R,ST,ST1999,-,100,100,0,-,5,0
R,ST,ST2,-,100,100,0,-,5,0
R,ST,ST2-3LV,0,100,0,0,100,1,100
R,ST,ST20,79.3103448275862,99.21875,95.54140127388536,0.78125,20.689655172413794,157,18.471337579617835
R,ST,ST200,100,100,100,0,0,47,2.127659574468085
R,ST,ST200-1LV,-,100,100,0,-,1,0
R,ST,ST2004,100,100,100,0,0,15,40
R,ST,ST2006,100,0,100,100,0,2,100
R,ST,ST2011,-,100,100,0,-,2,0
R,ST,ST202,-,100,100,0,-,6,0
R,ST,ST2029-1LV,-,100,100,0,-,1,0
R,ST,ST2039,-,100,100,0,-,1,0
R,ST,ST204-2LV,-,100,100,0,-,1,0
R,ST,ST2042,-,100,100,0,-,4,0
R,ST,ST2045-1LV,-,100,100,0,-,1,0
R,ST,ST205,-,100,100,0,-,4,0
R,ST,ST205-2LV,-,100,100,0,-,1,0
R,ST,ST2053,0,100,50,0,100,2,50
R,ST,ST2055,-,100,100,0,-,2,0
R,ST,ST206,-,100,100,0,-,1,0
R,ST,ST206-3LV,0,100,0,0,100,1,100
R,ST,ST2067-1LV,-,100,100,0,-,1,0
R,ST,ST2067-3LV,-,100,100,0,-,1,0
R,ST,ST2069,-,100,100,0,-,1,0
R,ST,ST208,-,90,90,10,-,10,0
R,ST,ST208-1LV,-,100,100,0,-,9,0
R,ST,ST208-3LV,-,100,100,0,-,1,0
R,ST,ST2082,-,100,100,0,-,1,0
R,ST,ST2083-4LV,-,100,100,0,-,1,0
R,ST,ST2086,-,100,100,0,-,1,0
R,ST,ST2089,-,100,100,0,-,1,0
R,ST,ST209-1LV,-,100,100,0,-,1,0
R,ST,ST2096,100,0,100,100,0,40,100
R,ST,ST2097,-,100,100,0,-,2,0
R,ST,ST2097-1LV,-,100,100,0,-,1,0
R,ST,ST2108,100,100,100,0,0,7,14.285714285714285
R,ST,ST211,-,100,100,0,-,2,0
R,ST,ST2116,-,100,100,0,-,4,0
R,ST,ST2118,-,100,100,0,-,4,0
R,ST,ST2121,100,0,100,100,0,1,100
R,ST,ST2123,-,100,100,0,-,1,0
R,ST,ST2127,-,100,100,0,-,1,0
R,ST,ST2133,-,100,100,0,-,1,0
R,ST,ST2136,-,100,100,0,-,1,0
R,ST,ST215,66.66666666666666,100,93.33333333333333,0,33.33333333333333,15,20
R,ST,ST2153,-,100,100,0,-,1,0
R,ST,ST2154,100,0,100,100,0,1,100
R,ST,ST2158,-,100,100,0,-,3,0
R,ST,ST2159,-,100,100,0,-,2,0
R,ST,ST2167,-,100,100,0,-,3,0
R,ST,ST2176,100,100,100,0,0,2,50
R,ST,ST2177,-,100,100,0,-,2,0
R,ST,ST218,75,100,94.11764705882352,0,25,17,23.52941176470588
R,ST,ST218-2LV,-,100,100,0,-,1,0
R,ST,ST2183,-,100,100,0,-,2,0
R,ST,ST2185,-,100,100,0,-,1,0
R,ST,ST219,100,66.66666666666666,78.72340425531915,33.33333333333333,0,47,36.17021276595745
R,ST,ST22,85.71428571428571,95.83333333333334,93.54838709677419,4.166666666666666,14.285714285714285,31,22.58064516129032
R,ST,ST22-1LV,100,0,100,100,0,1,100
R,ST,ST220,-,100,100,0,-,3,0
R,ST,ST220-2LV,-,100,100,0,-,2,0
R,ST,ST2202,-,100,100,0,-,2,0
R,ST,ST221,100,100,100,0,0,21,14.285714285714285
R,ST,ST2211,-,100,100,0,-,3,0
R,ST,ST2217,100,100,100,0,0,5,20
R,ST,ST2221,-,100,100,0,-,1,0
R,ST,ST2228,-,100,100,0,-,2,0
R,ST,ST2239,-,100,100,0,-,2,0
R,ST,ST224,-,100,100,0,-,6,0
R,ST,ST2248,-,100,100,0,-,2,0
R,ST,ST225,0,90.9090909090909,83.33333333333334,9.090909090909092,100,12,8.333333333333332
R,ST,ST2257-1LV,-,0,0,100,-,1,0
R,ST,ST2258,-,100,100,0,-,1,0
R,ST,ST2263,-,100,100,0,-,2,0
R,ST,ST2264,100,0,100,100,0,1,100
R,ST,ST2267,0,100,50,0,100,2,50
R,ST,ST2273,-,100,100,0,-,2,0
R,ST,ST2286,-,100,100,0,-,1,0
R,ST,ST229,0,100,66.66666666666666,0,100,3,33.33333333333333
R,ST,ST2295,-,100,100,0,-,1,0
R,ST,ST23,20,97.67441860465115,89.58333333333334,2.3255813953488373,80,48,10.416666666666668
R,ST,ST230,-,100,100,0,-,11,0
R,ST,ST2300,100,0,100,100,0,1,100
R,ST,ST2301,-,100,100,0,-,1,0
R,ST,ST231,100,0,97.79735682819384,100,0,227,97.79735682819384
R,ST,ST231-1LV,100,0,100,100,0,2,100
R,ST,ST2317,-,100,100,0,-,1,0
R,ST,ST2324,-,100,100,0,-,1,0
R,ST,ST2330,-,100,100,0,-,1,0
R,ST,ST234,50,100,93.33333333333333,0,50,15,13.333333333333334
R,ST,ST2351,100,100,100,0,0,2,50
R,ST,ST2352-2LV,100,0,100,100,0,1,100
R,ST,ST2355,-,100,100,0,-,1,0
R,ST,ST2362,-,100,100,0,-,1,0
R,ST,ST2370,-,100,100,0,-,5,0
R,ST,ST2375-2LV,-,100,100,0,-,1,0
R,ST,ST2386,-,100,100,0,-,15,0
R,ST,ST2388,-,100,100,0,-,1,0
R,ST,ST2396,-,100,100,0,-,2,0
R,ST,ST24,-,100,100,0,-,2,0
R,ST,ST240,100,100,100,0,0,18,55.55555555555556
R,ST,ST2406,-,100,100,0,-,3,0
R,ST,ST2407,100,100,100,0,0,3,33.33333333333333
R,ST,ST2408,-,100,100,0,-,1,0
R,ST,ST241,-,100,100,0,-,1,0
R,ST,ST2410,-,100,100,0,-,1,0
R,ST,ST2411,-,100,100,0,-,2,0
R,ST,ST2412-1LV,-,100,100,0,-,1,0
R,ST,ST2414,-,100,100,0,-,1,0
R,ST,ST2415,-,100,100,0,-,1,0
