"id","displayname","latitude","longitude","day","month","year","literaturelink","Secondary sample accession","Alternative sample name 2","Host","Environmental sample","City/region","Collection date","Host status","Run accession","Alternative sample name 1","Study accession","Sample alias","Isolation source","Accession","Host sex","Country","Sample accession","Collected by","Experiment accession"
"65c229035fef0d23c680267d","SAMN26369195",-37.8462,144.9827,"","",2020,"","SRS12169315","","Human","","Melbourne","2020","","SRR18208984","","PRJNA777643","KPN2182","Urine - Catheter","SRR18208984","","Australia","SAMN26369195","Alfred Health","SRX14355609"
"65ca2ff1e035042fc71946bb","SAMN26369198",-37.8462,144.9827,"","",2020,"","SRS12169319","","Human","","Melbourne","2020","","SRR18208980","","PRJNA777643","KPN2185","urine","SRR18208980","","Australia","SAMN26369198","Alfred Health","SRX14355613"
"65c229035fef0d8d1680267c","SAMN26369200",-37.8462,144.9827,"","",2020,"","SRS12169321","","Human","","Melbourne","2020","","SRR18208978","","PRJNA777643","KPN2187","Blood Venous","SRR18208978","","Australia","SAMN26369200","Alfred Health","SRX14355615"
"65ca2ff1e03504433a1946ba","SAMN26369202",-37.8462,144.9827,"","",2020,"","SRS12169323","","Human","","Melbourne","2020","","SRR18208976","","PRJNA777643","KPN2189","urine","SRR18208976","","Australia","SAMN26369202","Alfred Health","SRX14355617"
"65ca2ff1e0350462721946b8","SAMN26369219",-37.8462,144.9827,"","",2020,"","SRS12169343","","Human","","Melbourne","2020","","SRR18208956","","PRJNA777643","KPN2206","Bronchial Alveolar Lavage","SRR18208956","","Australia","SAMN26369219","Alfred Health","SRX14355637"
"65c229035fef0d33ad802679","SAMN26369222",-37.8462,144.9827,"","",2020,"","SRS12169346","","Human","","Melbourne","2020","","SRR18208953","","PRJNA777643","KPN2209","Tissue","SRR18208953","","Australia","SAMN26369222","Alfred Health","SRX14355640"
"65ca2ff1e0350463a51946b6","SAMN26369226",-37.8462,144.9827,"","",2020,"","SRS12169351","","Human","","Melbourne","2020","","SRR18208948","","PRJNA777643","KPN2213","Lavage","SRR18208948","","Australia","SAMN26369226","Alfred Health","SRX14355645"
"65c229035fef0d2871802677","SAMN26369239",-37.8462,144.9827,"","",2020,"","SRS12169365","","Human","","Melbourne","2020","","SRR18208934","","PRJNA777643","KPN2226","urine","SRR18208934","","Australia","SAMN26369239","Alfred Health","SRX14355659"
"65ca2ff1e03504931e1946b5","SAMN26369242",-37.8462,144.9827,"","",2020,"","SRS12169368","","Human","","Melbourne","2020","","SRR18208931","","PRJNA777643","KPN2229","urine","SRR18208931","","Australia","SAMN26369242","Alfred Health","SRX14355662"
"65c229035fef0d6345802676","SAMN26369245",-37.8462,144.9827,"","",2020,"","SRS12169372","","Human","","Melbourne","2020","","SRR18208928","","PRJNA777643","KPN2232","tracheal aspirate","SRR18208928","","Australia","SAMN26369245","Alfred Health","SRX14355665"
"65c229035fef0d781f802675","SAMN26369251",-37.8462,144.9827,"","",2020,"","SRS12169378","","Human","","Melbourne","2020","","SRR18208921","","PRJNA777643","KPN2239","sputum","SRR18208921","","Australia","SAMN26369251","Alfred Health","SRX14355672"
"65c229035fef0d78ab802674","SAMN26369255",-37.8462,144.9827,"","",2020,"","SRS12169383","","Human","","Melbourne","2020","","SRR18208917","","PRJNA777643","KPN2243","blood","SRR18208917","","Australia","SAMN26369255","Alfred Health","SRX14355676"
"65c229035fef0d1ec5802672","SAMN26369272",-37.8462,144.9827,"","",2020,"","SRS12169401","","Human","","Melbourne","2020","","SRR18208898","","PRJNA777643","KPN2264","Fluid - Peritoneal","SRR18208898","","Australia","SAMN26369272","Alfred Health","SRX14355695"
"65ca2ff1e0350403471946b2","SAMN26369276",-37.8462,144.9827,"","",2020,"","SRS12169406","","Human","","Melbourne","2020","","SRR18208893","","PRJNA777643","KPN2268","sputum","SRR18208893","","Australia","SAMN26369276","Alfred Health","SRX14355700"
"65c229035fef0d0093802670","SAMN26369288",-37.8462,144.9827,"","",2020,"","SRS12169419","","Human","","Melbourne","2020","","SRR18208880","","PRJNA777643","KPN2281","urine","SRR18208880","","Australia","SAMN26369288","Alfred Health","SRX14355713"
